,donorID,donated,probability
0,100001,1.0,0.5625845266255949
1,100003,1.0,0.5829661717017252
2,100004,1.0,0.6759640225142868
3,100006,1.0,0.8422891205849189
4,100009,1.0,0.5647818374950625
5,100011,0.0,0.48264722904377194
6,100012,1.0,0.6915436402144787
7,100013,1.0,0.7045194406128985
8,100014,0.0,0.20015948927062366
9,100016,0.0,0.22960034174361268
10,100017,0.0,0.36535106288337427
11,100018,0.0,0.3948483655845873
12,100019,1.0,0.6009309055388798
13,100020,1.0,0.6662111905782876
14,100023,1.0,0.5768800566066984
15,100026,0.0,0.45635536671370475
16,100027,1.0,0.7318515727047452
17,100029,1.0,0.6049659285275972
18,100031,1.0,0.5083946902018728
19,100032,0.0,0.2580516522970095
20,100033,1.0,0.5943997907163392
21,100038,1.0,0.8336926818880545
22,100039,1.0,0.7684764208029637
23,100040,0.0,0.29288955577037856
24,100041,0.0,0.37193456305149025
25,100043,0.0,0.3997041253129193
26,100044,0.0,0.45382887870505
27,100046,0.0,0.1940493190828885
28,100048,0.0,0.4678927385473637
29,100049,1.0,0.9528527457771782
30,100053,0.0,0.3856606544671251
31,100054,0.0,0.20015948927062366
32,100055,1.0,0.572062295695282
33,100056,1.0,0.6038273533041393
34,100057,1.0,0.580599078220009
35,100058,1.0,0.5434980649685249
36,100059,1.0,0.9517353981714392
37,100061,1.0,0.6588245948305186
38,100063,0.0,0.29288955577037856
39,100064,0.0,0.4069165764190623
40,100065,0.0,0.4999261550738204
41,100067,0.0,0.28495715576228686
42,100069,1.0,0.5196867760934172
43,100071,0.0,0.4771314948829898
44,100073,0.0,0.35475251400568053
45,100077,1.0,0.5192228511354224
46,100079,0.0,0.28495715576228686
47,100081,1.0,0.5647818374950625
48,100083,0.0,0.48272650240452347
49,100084,0.0,0.4299814519038338
50,100085,1.0,0.8122304541567018
51,100086,0.0,0.25072821990929633
52,100087,0.0,0.4299814519038338
53,100089,0.0,0.4183687658876758
54,100090,1.0,0.5575879904219592
55,100092,0.0,0.2967008156914476
56,100094,0.0,0.17364285334608517
57,100095,0.0,0.42549392648298134
58,100098,1.0,0.7558387270266239
59,100101,0.0,0.43727010279994183
60,100103,1.0,0.5733237960454156
61,100107,1.0,0.5879979701794226
62,100109,0.0,0.3476379838794208
63,100111,0.0,0.36066190010616905
64,100113,0.0,0.24354440201612784
65,100114,0.0,0.36535106288337427
66,100115,0.0,0.47099947821042065
67,100116,0.0,0.22960034174361268
68,100118,0.0,0.27311106319446415
69,100119,0.0,0.24354440201612784
70,100121,0.0,0.409003659795346
71,100123,1.0,0.7667258493744297
72,100124,0.0,0.25072821990929633
73,100125,0.0,0.2887073387903679
74,100126,0.0,0.2275610294166171
75,100127,1.0,0.6887274741132244
76,100128,1.0,0.7041377594608704
77,100131,0.0,0.2655131916072232
78,100132,1.0,0.8465829503147897
79,100134,0.0,0.18808181052696346
80,100136,1.0,0.6141993695134339
81,100137,0.0,0.21934956842139716
82,100138,1.0,0.8027204824794567
83,100139,0.0,0.4695850682993151
84,100140,1.0,0.8191808045339201
85,100142,0.0,0.34544515787578023
86,100143,0.0,0.18808181052696346
87,100145,1.0,0.7854391666838064
88,100146,1.0,0.713003004928709
89,100149,1.0,0.5288533262651703
90,100150,0.0,0.3393016038245729
91,100154,0.0,0.1822563179885746
92,100155,1.0,0.7208388199070684
93,100156,1.0,0.8983550425070154
94,100161,1.0,0.669150618986903
95,100162,0.0,0.30094983367402534
96,100165,1.0,0.8581908569163164
97,100166,0.0,0.3856606544671251
98,100167,1.0,0.5530608455775243
99,100168,1.0,0.712523898349523
100,100169,1.0,0.6292856671437758
101,100170,0.0,0.34912277503465866
102,100171,0.0,0.34450735019503653
103,100173,0.0,0.44677999037778743
104,100175,0.0,0.2580516522970095
105,100176,0.0,0.43442278669530676
106,100177,0.0,0.4925071760795333
107,100181,1.0,0.8011729169679112
108,100182,1.0,0.9191177476849999
109,100185,1.0,0.5506054184450834
110,100186,1.0,0.5074663065702848
111,100190,1.0,0.8812555544662808
112,100194,1.0,0.5530608455775243
113,100196,0.0,0.409003659795346
114,100199,1.0,0.7474964131734767
115,100201,1.0,0.5583572713611678
116,100202,0.0,0.23285925012877737
117,100203,1.0,0.7616899775515684
118,100204,0.0,0.47099947821042065
119,100206,1.0,0.8981049678747536
120,100208,0.0,0.44781389060351456
121,100211,0.0,0.47099947821042065
122,100212,0.0,0.3091349548718439
123,100213,0.0,0.39151109712688953
124,100214,1.0,0.6926441128308332
125,100216,1.0,0.6001541190426495
126,100218,0.0,0.3907303408756744
127,100222,0.0,0.44260388414457885
128,100223,1.0,0.6542993387726959
129,100228,1.0,0.5172799795847612
130,100229,1.0,0.9504800310881126
131,100230,1.0,0.5496777737575697
132,100233,1.0,0.5575879904219592
133,100236,0.0,0.22960034174361268
134,100237,1.0,0.6993105593099477
135,100241,0.0,0.2887073387903679
